105 102.5 103.5 102.5 104 104 104.5 104.5 105.5 105.5 
106.5 107.5 108 107.5 108.5 109 111 112.5 111.5 111.5 
113.5 114 114 113.5 113.5 112.5 112.5 112.5 114 115 
115.5 115.5 116 117 117 118.5 117.5 117.5 115.5 115 
114.5 114.5 115 114.5 116 117 116.5 114.5 109 108.5 
107 107.5 109 109 106.5 107.5 108 108 107 107 
107.5 107.5 105 106.5 105.5 104 104.5 105.5 104.5 103 
105 104 103.5 105 105.5 105 104 105 103.5 104 
103 104 103.5 103 104 104.5 105.5 106 105.5 106 
107.5 108 108.5 109 109.5 111.5 113 112.5 111.5 111 
111.5 113.5 113.5 113.5 113.5 113 112.5 113.5 114.5 114.5 
114.5 116 117 116.5 117 117.5 117.5 116.5 115.5 115 
114.5 115.5 115.5 116.5 118 116 115.5 107.5 109.5 109 
107 108 107.5 107 108 108.5 107.5 106 107.5 105.5 
106 105.5 107 101.5 105.5 104.5 104 102.5 103.5 105 
105.5 103.5 104.5 105.5 105 105 104 104 103.5 103 
103.5 103 104 103.5 104.5 105 105 106 107 108 
108.5 108.5 110.5 111.5 112.5 113 112 112 112 112.5 
113.5 112 112 112.5 112 113.5 114.5 114 114 115 
117.5 116.5 117 117.5 116.5 118 116.5 116 116 115.5 
115 116.5 117 117 116 115 109.5 108.5 109 106.5 
107.5 106.5 106 108 107.5 107 106 106 106 106.5 
107.5 107.5 105.5 106 107 106 104.5 104.5 106 105 
105 104 105 104 103.5 104.5 104.5 104.5 103.5 102.5 
103 104 103 104.5 104.5 104.5 105.5 107 107.5 108.5 
110 111 111 111 111 111.5 111.5 111 112 112 
111.5 110 111.5 112.5 113 112 112.5 113 114.5 116 
116 117 118 116.5 117.5 118 116.5 116.5 117 116 
117 117.5 116.5 116 116.5 109 109.5 108 106.5 108.5 
107 107.5 108 107.5 106 108 107.5 108 106.5 108 
106.5 105 107 107.5 106.5 106 105 105 104.5 102.5 
103 104.5 105 105 105.5 105 104.5 102 102.5 103.5 
103.5 103.5 104.5 104.5 104.5 106 107 108 109.5 110.5 
110.5 109.5 110.5 110 111.5 111.5 111.5 110 111 111.5 
111.5 112 111 110.5 112 113 112 112.5 114 115.5 
116.5 117 118 117.5 117.5 116.5 116 116.5 117 118 
117 115.5 116.5 117 108.5 107.5 108 108 108 107 
106.5 107.5 105.5 107.5 106 106.5 105.5 105.5 105.5 108.5 
106.5 106.5 105.5 107 105.5 105 105 105.5 105 103 
104 104.5 105.5 105 104 105.5 105.5 102 102.5 103 
104 105 105.5 106 106 107 108 109.5 109 109 
109 110 109.5 110 111 110 109.5 110 110.5 110.5 
110.5 111.5 110.5 111.5 113.5 113 113 115 116.5 117.5 
117 118 117 116 116 115.5 116 117 118.5 117.5 
116.5 117 117.5 110.5 109.5 108.5 105.5 108 107.5 106 
107.5 107 108.5 105 106 106 107 106 107.5 105.5 
108.5 105.5 105.5 106.5 105 105.5 105 104 105 105 
105 104.5 105.5 104.5 104.5 104 101 103 104 105 
105.5 104.5 106 106.5 107.5 107.5 107.5 107.5 109 110 
110.5 108.5 109.5 109.5 108.5 109 110 110 109 110 
111 112 111.5 114 114 115.5 116.5 117 118 118 
118.5 117.5 116.5 116 116 116 117 118.5 118.5 116.5 
116.5 117.5 111 110.5 108.5 107.5 108.5 108 106 106.5 
106 107.5 109 106.5 107 107 107.5 106.5 106 105.5 
107.5 106 105.5 104 105.5 103.5 105 105.5 103.5 104.5 
104 105 105 104 103.5 101.5 102 104 104 104.5 
104 105.5 106 106.5 107.5 107.5 108 108 108.5 109 
107.5 108 109 111 110.5 109 109.5 109.5 109.5 110.5 
110.5 112 114.5 115.5 117.5 117 117 118 118.5 117.5 
116.5 116 116.5 117.5 116.5 116 117.5 118 116.5 116 
116.5 111 110 108 109 108.5 108 105.5 106.5 106.5 
107 107.5 107 107.5 107.5 108 107 107 106 105.5 
105.5 105.5 104 105 104.5 105 105 105 105 105 
105.5 105 104 104 102 102 104 104 106 105 
105 106.5 107 106.5 107 108.5 109.5 110 108.5 108 
107.5 108.5 109 110 110 109.5 109.5 110.5 110.5 112.5 
113.5 114 115 116.5 116 116.5 118.5 118.5 117.5 117.5 
116 115.5 113.5 115.5 116 117 117.5 115.5 115 115.5 
111.5 110.5 110 109.5 109.5 109.5 109.5 107 107.5 105.5 
105 108 105.5 107 106.5 106.5 106 106 105.5 104 
105 107 103.5 104 103.5 105.5 106.5 104.5 105 104.5 
104.5 104 102.5 102 101.5 103 103.5 105.5 106 105.5 
106 106 107.5 108.5 108.5 109.5 108.5 108 108.5 108 
107.5 108.5 108.5 108 110 111 112.5 111 112 112.5 
113.5 113.5 114 116 116.5 118.5 118.5 118 116.5 115 
115.5 115 115 115 116.5 115.5 115 114 114 112 
110.5 111 109.5 109.5 109.5 108.5 108 108 107.5 107 
105.5 107 107.5 107 107.5 105.5 105 105.5 104.5 102.5 
106 104.5 103 103 103 105 103.5 105 105 104 
103.5 103 102 102 102.5 104 105 105.5 104.5 105 
106.5 108 109 109.5 109 107.5 107.5 107.5 106.5 107.5 
106.5 107.5 108.5 109.5 111 112.5 113.5 113.5 115 116 
114.5 114 116 117.5 119 117.5 116.5 116 115 115 
114.5 115.5 114 116.5 116 114.5 115 115.5 111.5 111.5 
111.5 111 108 109 107.5 108.5 107 107.5 105.5 106 
106 106.5 106.5 108 107.5 104 105 103 103.5 105 
104 102 102.5 104 104.5 103 104.5 105 104 103.5 
104 102 100.5 104 104.5 104.5 104.5 105 105 106 
