33	53	32	32	0.125	0.125
52	53	32	32	0.125	0.125
33	54	34	34	0.125	0.125
57	54	34	34	0.125	0.125
52	55	75	76	0.166667	0.166667
57	56	107	108	0.166667	0.166667
52	75	51	51	0.125	0.125
74	75	51	51	0.125	0.125
52	76	55	53	0.166667	0.166667
128	77	127	127	0.125	0.125
74	77	127	127	0.125	0.125
128	78	131	129	0.166667	0.166667
55	79	52	52	0.0833333	0.0833333
76	79	52	52	0.0833333	0.0833333
55	80	56	56	0.125	0.125
76	81	78	78	0.125	0.125
80	82	79	79	0.125	0.125
81	82	79	79	0.125	0.125
80	83	86	86	0.125	0.125
81	84	93	93	0.125	0.125
56	86	55	55	0.125	0.125
56	87	57	57	0.0833333	0.0833333
107	87	57	57	0.0833333	0.0833333
107	92	109	109	0.125	0.125
86	88	80	80	0.125	0.125
86	89	87	87	0.125	0.125
92	89	87	87	0.125	0.125
92	91	104	104	0.125	0.125
78	93	76	76	0.125	0.125
129	98	128	128	0.0833333	0.0833333
78	98	128	128	0.0833333	0.0833333
129	99	130	130	0.125	0.125
93	94	81	81	0.125	0.125
99	96	98	98	0.125	0.125
93	96	98	98	0.125	0.125
99	97	105	105	0.125	0.125
109	104	107	107	0.125	0.125
130	105	129	129	0.125	0.125
109	106	133	133	0.0833333	0.0833333
130	106	133	133	0.0833333	0.0833333
104	101	92	92	0.125	0.125
105	102	99	99	0.125	0.125
104	103	106	106	0.125	0.125
105	103	106	106	0.125	0.125
57	107	54	56	0.166667	0.166667
57	108	58	58	0.125	0.125
111	108	58	58	0.125	0.125
133	109	130	132	0.166667	0.166667
111	110	134	134	0.125	0.125
133	110	134	134	0.125	0.125
128	129	78	77	0.166667	0.166667
133	130	110	109	0.166667	0.166667
152	131	151	151	0.125	0.125
128	131	151	151	0.125	0.125
133	132	153	153	0.125	0.125
152	132	153	153	0.125	0.125
228	248	227	227	0.125	0.125
247	248	227	227	0.125	0.125
228	249	229	229	0.125	0.125
252	249	229	229	0.125	0.125
247	250	270	271	0.166667	0.166667
252	251	302	303	0.166667	0.166667
247	270	246	246	0.125	0.125
269	270	246	246	0.125	0.125
247	271	250	248	0.166667	0.166667
323	272	322	322	0.125	0.125
269	272	322	322	0.125	0.125
323	273	326	324	0.166667	0.166667
250	274	247	247	0.0833333	0.0833333
271	274	247	247	0.0833333	0.0833333
250	275	251	251	0.125	0.125
271	276	273	273	0.125	0.125
275	277	274	274	0.125	0.125
